,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Notes
100,104792,RODA LAC S 214,TFL,O,COMPOUND,-,85,110, -   ,-, -   , -   ," 3,198 ", -   ,, -   , -   ,4.8, -   ," 15,350 ", 139.5 ,,," 3,198 "," 2,071 ","(2,071)","(3,198)",
101,105310,RODA LAC S 214/N,TFL,O,COMPOUND,"EF+FISS NITRO, SIENA",85,110," 11,550 ",2023-03-28::4400.0|||NaT::7150.0, 440 , 295 , 4 ," 2,274 "," 2,566 "," 3,386 ", 0.29 ,4.8, 4.79 , -   , -   ,,, 4 , -   ,735 ,731 ,
102,104729,TRUMP FINISH 6311,ISELLO,O,COMPOUND,-,75,45, -   ,-, 945 , 86 , 16 , 36 , 27 , 8 , 64.44 ,4.5, 64.44 , -   , -   ,,, 16 , 16 ,"1,015 ","1,015 ",
103,105016,SU-2960,STAHL Netherlands,O,-,-,105,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,5.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
104,104937,MELIO AQUABASE W-MN,STAHL Singapore,O,-,STUCCO BY HAND,25,70, -   ,-, -   , 450 , -   , 362 , 366 , 363 , 1.23 ,2.8, 1.23 , -   , -   ,,, -   , -   ,450 ,450 ,
105,104601,METALIC SILVER - NHU BAC,Vina Hào D??ng,D,COMPOUND,-,14,1, -   ,-, 3 , 2 , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,
106,104680,MEK-CLEANING SOLVENT,RIVERBANK,D,COMPOUND,FISS nitro,14,165, -   ,-, 165 , 517 , 145 , 240 , 199 , 187 , 4.70 ,2.5, 4.70 , -   , -   ,,, 145 , 69 ,613 ,537 ,
107,104676,MELIO PROMUL AP-39 A,STAHL Singapore,O,COMPOUND,-,25,120," 2,400 ",2023-03-30::2400.0," 1,920 ", 961 ," 2,373 "," 1,297 "," 1,183 "," 1,363 ", 1.21 ,2.8, 2.23 ," 1,424 ", 11.9 ,,," 2,373 ", 679 ,"2,202 ",508 ,
108,104961,RODA PUR 65,TFL,O,-,xai het chuyen qua ASTACIN FINISH PUMN TF,85,1000, -   ,-," 4,000 "," 1,033 ", -   , -   ,, 967 ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,"5,033 ","5,033 ",
109,105505,ASTACIN FINISH PUMN TF,STAHL Singapore,O,COMPOUND,xai het PUR 65 chuyen qua xai TF Singapore,28,120," 9,600 ",2023-03-26::5400.0|||NaT::4200.0, 240 , 595 ," 4,673 "," 2,183 "," 2,161 "," 2,399 ", 0.18 ,2.9, 2.23 ," 3,271 ", 27.3 ,,," 4,673 "," 2,019 ","(1,184)","(3,838)",
110,104960,RODA LINK 5504/N,TFL,O,COMPOUND,cross linker,85,10," 2,200 ",2023-03-28::1500.0|||NaT::700.0," 1,340 ", 711 ," 1,303 ", 611 , 611 , 788 , 1.57 ,4.8, 3.26 ," 1,955 ", 195.4 ,,," 1,303 ", 528 ,"1,523 ",748 ,
111,104675,MELIO 09-R-179,STAHL,O,-,same as Rodalink 5504,83,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
112,105159,RETICOLANTE 05,ORCHID CHEM (NG?C LAN),D,-,-,0,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
113,105157,HARDNER UR 26,ORCHID CHEM (NG?C LAN),D,-,-,0,10," 3,080 ",2023-04-22::1430.0|||2023-05-08::1650.0, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
114,104734,TOUCHMILL C/FAT,GSC ITALY,O,-,OLIO,80,1000, -   ,-, -   , 156 , -   , 1 , 2 , -   , 78.00 ,4.7, 78.00 , -   , -   ,,, -   , -   ,156 ,156 ,
115,104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),GSC ITALY,O,-,Will flush out and stop,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
116,104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,COMPOUND,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",80,1000, -   ,-," 1,080 ", 63 , 96 , 57 , 73 , 10 , 11.91 ,4.7, 11.91 , -   , -   ,,, 96 , 44 ,"1,099 ","1,047 ",
117,104645,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,COMPOUND,"MILLING CAPITAL,BOWIE",80,120," 2,040 ",2023-04-10::960.0|||2023-05-08::1080.0, 480 , 59 , 146 , 61 , 44 , 98 , 3.69 ,4.7, 17.66 , -   , -   ,,, 146 , 88 ,451 ,393 ,
118,104799,NERO CONTEX M,SAMIA,O,PIGMENT,"can replace by PP Stahl 19215, PP 11315)",70,120, -   ,-, -   , -   , 2 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),
119,105464,OPERA NERO FR,GSC,O,PIGMENT,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),70,120, -   ,-," 2,280 ", 488 ," 1,838 ", 838 ," 1,021 ", 988 , 1.51 ,4.8, 1.51 ," 6,065 ", 50.5 ,,," 1,838 "," 1,040 ","1,728 ",930 ,
120,105180,OXY FINE NERO FR,GSC,O,-,GSC pigment (tên m?i c?a opera nero),70,120," 12,720 ",2023-04-10::3000.0|||2023-04-22::1800.0|||2023-04-24::720.0|||2023-04-24::1200.0|||2023-05-08::1440.0|||NaT::4560.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
121,104754,ISOLAC NERO,SAMIA,O,PIGMENT,-,70,10, -   ,-," 1,170 ", 78 , 147 , 118 , 121 , 154 , 8.49 ,4.8, 8.49 , -   , -   ,,, 147 , 68 ,"1,180 ","1,101 ",
122,105595,SHADE BLACK/EJ,GSC,O,-,-,70,10, -   ,-, 5 , 24 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,29 ,29 ,
123,104914,SAMIACEL LACCA 793,SAMIA,O,COMPOUND,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50, -   ,-, -   , -   , 537 , -   ,, -   , -   ,4.3, -   ," 2,309 ", 46.2 ,,, 537 , 194 ,(194),(537),
124,105533,SAMIACEL LACCA 793 ET,SAMIA,O,-,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",70,50," 2,000 ",2023-04-15::2000.0, 850 , 296 , -   , 437 , 435 , 269 , 2.63 ,4.3, 7.23 , -   , -   ,,, -   , -   ,"1,146 ","1,146 ",
125,104915,SAMIACEL OPACO 813,SAMIA,O,-,-,70,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
126,105515,SAMIACEL OPACO 813 ET,SAMIA,O,COMPOUND,"FISS nitro, SIENA, Maestro",70,50, -   ,-," 8,250 ", 208 ," 1,129 ", 703 , 607 , 964 , 7.49 ,4.3, 7.49 , -   , -   ,,," 1,129 ", 216 ,"8,242 ","7,329 ",
127,104966,SMITFIX M 9556,SMIT FINISHING,O,COMPOUND,-,85,110, -   ,-, -   , -   , 51 , -   ,, -   , -   ,4.8, -   , 245 , 2.2 ,,, 51 , -   ,0 ,(51),
128,104964,RODA FIX 6271/B,TFL,O,-,fiss water mau trang,85,1000, -   ,-," 3,000 ", 985 , -   ," 1,004 ", 219 ," 1,075 ", 18.20 ,4.8, 18.20 , -   , -   ,,, -   , -   ,"3,985 ","3,985 ",
129,105410,EX-WT-35-711,STAHL Singapore,O,COMPOUND,xai FISS water ,25,120," 13,440 ",NaT::1680.0|||NaT::3240.0|||NaT::3600.0|||NaT::4920.0," 1,920 ", 859 ," 6,552 "," 3,532 "," 4,596 "," 6,622 ", 0.42 ,2.8, 2.48 ," 1,966 ", 16.4 ,,," 6,552 "," 3,474 ",(695),"(3,773)",
130,104708,NOVA M 16/NF,UNICHEM,O,COMPOUND,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
131,104973,TFIX M 9562,SMIT FINISHING,O,COMPOUND,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",70,120, -   ,-," 8,400 ", 374 , 162 , 231 , 173 , 236 , 54.16 ,4.3, 54.16 , -   , -   ,,, 162 , -   ,"8,774 ","8,612 ",
132,104812,NOVA NT/L NF,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
133,104824,NOVOLAC 750,RECALAC,O,COMPOUND,EMU DARK,70,1000," 21,000 ",2023-04-23::10000.0|||2023-05-08::10000.0|||2023-03-22::1000.0," 4,000 "," 1,172 "," 2,540 "," 4,508 "," 5,903 "," 6,556 ", 2.04 ,4.3, 10.30 , -   , -   ,,," 2,540 ", 958 ,"4,214 ","2,632 ",
134,105376,TOPCELL VOC FREE,Tanquimica BRazil,O,COMPOUND,EMUL: ASIAMA and MANWAH,76,1000," 8,000 ",2023-03-19::8000.0," 8,000 ", -   ," 3,380 ", 986 ,, -   , 2.37 ,4.5, 4.73 , -   , -   ,,," 3,380 "," 2,171 ","5,829 ","4,620 ",
135,105223,EXP AQ SYSTEM EF 91/8,GSC,O,COMPOUND,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",70,120," 4,560 ",2023-04-10::4560.0," 1,560 ", 826 ," 1,631 "," 1,939 "," 1,652 "," 1,773 ", 1.46 ,4.3, 4.26 , -   , -   ,,," 1,631 ", 503 ,"1,883 ",755 ,
136,105170,AQ SYSTEM EF 91/8,,,-,-,0,, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   ,,,, -   , -   ,0 ,0 ,
137,104758,BRITEX ORANGE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
138,104800,OCRA CONTEX,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 9 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 43 , 0.3 ,,, 9 , -   ,0 ,(9),
139,105465,OPERA OCRA DL,GSC,O,PIGMENT,GSC project,70,150," 13,350 ",2023-04-10::3900.0|||2023-04-24::3750.0|||NaT::4500.0|||NaT::1200.0, -   , 300 ," 3,195 "," 1,454 "," 1,569 "," 2,009 ", 0.09 ,4.8, 4.27 ," 1,598 ", 10.6 ,,," 3,195 "," 1,451 ","(1,151)","(2,895)",
140,104747,ISOLAC  OCRA ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",70,10, 120 ,2023-04-15::120.0, 50 , 69 , 18 , 17 , 20 , 28 , 6.61 ,4.8, 13.28 , -   , -   ,,, 18 , 6 ,113 ,101 ,
141,105596,SHADE CARAMEL/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 5 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,
142,104929,RODA BASE RECO 8,TFL,O,COMPOUND,PRE,85,115," 10,580 ",2023-03-28::5750.0|||2023-05-10::575.0|||NaT::4255.0," 6,210 ", 495 ," 4,447 "," 3,740 "," 3,734 "," 5,277 ", 1.51 ,4.8, 3.89 ," 4,002 ", 34.8 ,,," 4,447 "," 1,618 ","5,087 ","2,258 ",
143,104963,RODA CARE NL,TFL,O,COMPOUND,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",85,115," 3,795 ",2023-03-20::805.0|||2023-03-28::2990.0," 3,450 ", 524 ," 1,369 "," 1,105 "," 1,004 "," 2,095 ", 2.90 ,4.8, 5.67 , -   , -   ,,," 1,369 ", 811 ,"3,163 ","2,605 ",
144,104728,PRIMEX UD 32,GSC ITALY,O,-,-,80,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
145,104761,BRITEX RED,SAMIA,O,COMPOUND,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
146,104624,RODA CRYL 137,TFL,O,COMPOUND,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",85,120, -   ,-," 1,080 ", 21 , 110 , 100 , 78 , 127 , 10.01 ,4.8, 10.01 , -   , -   ,,, 110 , -   ,"1,101 ",991 ,
147,104625,RODA FEEL S 930,TFL,O,COMPOUND,add on FISS nitro,85,22, -   ,-, 638 , 81 , 122 , 75 , 66 , 75 , 5.89 ,4.8, 5.89 , -   , -   ,,, 122 , 17 ,702 ,597 ,
148,104801,ROSSO CONTEX CO,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
149,105466,OPERA ROSSO DL,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,320 ", 153 , 164 , 45 , 35 , 94 , 8.98 ,4.8, 8.98 , -   , -   ,,, 164 , 25 ,"1,448 ","1,309 ",
150,105042,SAMIANIL CB ROSSO RP,SAMIA,O,COMPOUND,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",70,25, -   ,-, 40 , 6 , 1 , 1 , -   , 1 ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, 1 , -   ,46 ,45 ,
151,104750,ISOLAC  ROSSO ,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",70,10, -   ,-, 210 , 38 , 5 , 5 , 5 , 13 , 49.60 ,4.8, 49.60 , -   , -   ,,, 5 , 1 ,247 ,243 ,
152,105597,SHADE RED/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 4 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,4 ,4 ,
153,105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
154,104673,SE W 11 CONC,FENICE,O,COMPOUND,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",64,30, -   ,-," 1,400 ", 41 , 33 , 10 ,, -   , 43.67 ,4.1, 43.67 , -   , -   ,,, 33 , -   ,"1,441 ","1,408 ",
155,104703,SMITFIX G 9058,SMIT FINISHING,O,COMPOUND,Millipunte HAWAII TIP,70,120, -   ,-, 120 , 50 , 7 , 12 , 16 , -   , 10.63 ,4.3, 10.63 , -   , -   ,,, 7 , 6 ,164 ,163 ,
156,104672,MP1,RIVERBANK,D,COMPOUND,pha màu và v? sinh,14,190, -   ,-," 2,470 "," 1,485 "," 2,009 "," 3,095 "," 3,394 "," 3,956 ", 1.97 ,2.5, 1.97 ," 1,005 ", 5.3 ,,," 2,009 ", 567 ,"3,388 ","1,946 ",
157,105161,PM1–CLEANING,SAMCHEM,D,-,-,14,190, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
158,105094,ACETONE *,AN V?NH PHÁT,D,-,-,14,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
159,105114,SODA CASTIC,Nam Bình,D,-,Maintenance,14,25, -   ,-, -   , -   , -   , 117 , 133 , 125 , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
160,104642,TOLUENE,RIVERBANK,D,COMPOUND, Fiss Deco&lux,14,179, -   ,-, 179 , 124 , 4 , 10 , 8 , 3 , 37.88 ,2.5, 37.88 , -   , -   ,,, 4 , 4 ,299 ,299 ,
161,104691,TOUCHMILL C/WS,GSC ITALY,O,COMPOUND,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",80,1000, -   ,-," 1,200 ", 104 , 192 , 113 , 141 , 21 , 6.79 ,4.7, 6.79 , -   , -   ,,, 192 , 88 ,"1,216 ","1,112 ",
162,104808,TURCHESE CONTEX T,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
163,105470,OPERA TURCHESE,GSC,O,PIGMENT,NCC ?ã ??i tên thành (OXY FINE TURCHESE),70,120, -   ,-, 600 , 103 , 109 , 74 , 67 , 121 , 6.45 ,4.8, 6.45 , -   , -   ,,, 109 , 76 ,627 ,594 ,
164,105187,OXY FINE TURCHESE,GSC,O,-,GSC pigmnet,70,120, 480 ,2023-04-10::240.0|||2023-04-17::240.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
165,104753,ISOLAC TURCHESE,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",70,10, -   ,-, 180 , 93 , 18 , 16 , 17 , 29 , 15.17 ,4.8, 15.17 , -   , -   ,,, 18 , 7 ,266 ,255 ,
166,105598,SHADE BLU/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,6 ,6 ,
167,104765,BRITEX TURQUOISE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
168,104913,LS 16-235,STAHL Singapore,O,-,-,23,170, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
169,105326,SU 16-235,STALH Singapore,O,COMPOUND,-,23,180, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
170,105165,LS-76-235,STALH Brazil,O,COMPOUND,-,23,170, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
171,105336,EX-SU-76-235,STALH Singapore,O,COMPOUND,"EFF, FISS nitro",25,180," 1,440 ",2023-03-26::1440.0, 540 , 604 ," 1,311 ", 991 ," 1,047 "," 1,336 ", 0.87 ,2.8, 1.97 ," 1,049 ", 5.8 ,,," 1,311 ", 585 ,559 ,(167),
172,104771,CONTEX VERDE,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
173,105463,OPERA VERDE,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 224 , 86 , 43 , 38 , 47 , 13.77 ,4.8, 13.77 , -   , -   ,,, 86 , 7 ,"1,177 ","1,098 ",
174,105188,OXY FINE VERDE,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
175,104809,VIOLETTO CONTEX R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
176,105471,OPERA PORPORA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,040 ", 196 , 97 , 36 , 29 , 23 , 23.05 ,4.8, 23.05 , -   , -   ,,, 97 , 10 ,"2,226 ","2,139 ",
177,105475,OXY FINE VIOLETTO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,360 ", 136 , 67 , 39 , 45 , 34 , 52.18 ,4.8, 52.18 , -   , -   ,,, 67 , 72 ,"3,424 ","3,429 ",
178,105474,OXY CAR BORDEAUX HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 120 , 41 , 24 , 14 , 19 , 38.05 ,4.8, 38.05 , -   , -   ,,, 41 , 1 ,"1,559 ","1,519 ",
179,104752,ISOLAC VIOLETTO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",70,10, -   ,-, 530 , 58 , 60 , 50 , 52 , 58 , 9.80 ,4.8, 9.80 , -   , -   ,,, 60 , 32 ,556 ,528 ,
180,105599,SHADE VIOLET/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,9 ,9 ,
181,104655,WT-13-351 (EX-64-170/3),STAHL,O,-,CLASSIC,0,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
182,104873,EX-WT-42-511,STAHL Singapore,O,COMPOUND,"FISS art CALIFORNIA, CADENZA",25,110, -   ,-, 330 , 86 , 24 , 66 , 72 , 24 , 17.33 ,2.8, 17.33 , -   , -   ,,, 24 , 14 ,402 ,392 ,
183,104923,TOP RT 10,GSC GROUP S.P.A,O,COMPOUND,NCC ?ã ??i tên thành (CRX RT CONC),70,10, -   ,-, -   , 111 , 78 , 53 , 50 , 108 , 1.42 ,4.3, 1.42 , 226 , 22.6 ,,, 78 , 16 ,95 ,33 ,
184,105177,CRX RT CONC,GSC GROUP S.P.A,O,-,tên m?i c?a TOP RT 10,70,10, 460 ,2023-04-15::180.0|||2023-04-22::110.0|||NaT::170.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
185,105411,XR-2514,STAHL,O,-,anti allergic to replaceTop RT-10 ,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
186,104767,CONTEX ZITRON,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
187,105455,OXY CAR CITRON HP,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 1,200 ", 202 , 107 , 41 , 38 , 60 , 13.10 ,4.8, 13.10 , -   , -   ,,, 107 , 45 ,"1,357 ","1,295 ",
188,104819,CORAM T YELLOW,Orchid Chem,D,COMPOUND,Replacement for GIALLO R+L DHL 240Kg/month,14,10, -   ,-, -   , -   , 3 , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, 8 , 0.8 ,,, 3 , -   ,0 ,(3),
189,85447,CA 3303,Orchid Chem,D,-,Replacement for CORAM T YELLOW ,14,25, -   ,-, -   , -   , -   , -   ,,,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
190,105554,RODA LAC ON 3050-N3,TFL,O,COMPOUND,"FISS art SIENA, ARTIC,Maestro",85,20, -   ,-, 600 , 64 , 2 , 14 , 8 , 10 , 83.00 ,4.8, 83.00 , -   , -   ,,, 2 , -   ,664 ,662 ,
191,104842,RODA CARE NC,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
192,104854,RODA PUR K 312,TFL,O,COMPOUND,-,85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
193,105550,RODA PUR K 312/F,TFL,O,COMPOUND,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT",85,120, 360 ,2023-03-28::360.0, 360 , 125 , 11 , 119 , 108 , 300 , 44.09 ,4.8, 76.82 , -   , -   ,,, 11 , -   ,485 ,474 ,
194,104810,CONTEX ROSSO HTR-CO,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
195,105476,OPERA VINACCIA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 121 , 165 , 75 , 71 , 122 , 5.10 ,4.8, 5.10 , -   , -   ,,, 165 , 57 ,784 ,676 ,
196,104858,ISO PROPYLIC ALCOHOL,RIVERBANK,D,COMPOUND,"DYECOAT-BUENA, Fleshside",14,160, -   ,-, 320 , 129 , 70 , 133 , 190 , 344 , 6.41 ,2.5, 6.41 , -   , -   ,,, 70 , 156 ,293 ,379 ,
197,104983,RECAPUR FIX TVN3,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
198,100413,MELIO FOAM AX-03,STAHL Singapore,O,COMPOUND,add on FONDO FOAM,25,50, 450 ,NaT::150.0|||NaT::150.0|||NaT::150.0, -   , 36 , 240 , 103 , 136 , 160 , 0.15 ,2.8, 2.03 , 192 , 3.8 ,,, 240 , 71 ,(35),(204),
199,104877,CRX S 75 / NT,GSC ITALY,O,COMPOUND,cross linker,80,10, 300 ,2023-04-15::300.0," 1,060 ", 178 , 339 , 292 , 303 , 344 , 3.65 ,4.7, 4.54 , 68 , 6.8 ,,, 339 , 139 ,"1,099 ",899 ,
200,105256,XR-5525,STAHL Singapore,O,-,-,70,5, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
201,105659,EX-XR-55-250 ,STAHL Singapore,O,COMPOUND,cross linker,70,5, -   ,-, 40 , 22 , 8 , 6 , 4 , 4 , 15.50 ,4.3, 15.50 , -   , -   ,,, 8 , 1 ,61 ,54 ,
202,104662,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
203,104390,SUPRONIL HK BLACK AS,STAHL Germany,O,COMPOUND,(Daniele)we can replace  with the new ones,80,30, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
204,105045,SAMIANIL CB NERO RP,SAMIA,O,COMPOUND,This chemical will be applied on leather flesh side to use color that is in stock for long time (green,70,1, -   ,-, 330 , 21 , 3 , 5 , 7 , 11 , 50.14 ,4.3, 50.14 , -   , -   ,,, 3 , 3 ,348 ,348 ,
